skills,interests,education,tools,experience_level,career
"Hadoop, Python, SQL","business insights, data analysis",BS Computer Science,"Power BI, Tableau, SQL",senior,Big Data Engineer
"Apache Spark, Python, SQL, Hadoop","business insights, statistics",BS Data Science,"Tableau, Excel, SQL",mid,Big Data Engineer
"Apache Spark, Python, SQL","business insights, statistics",BS Data Science,"Excel, SQL",junior,Big Data Engineer
"SQL, ETL, data warehousing",business insights,BS Computer Science,"Power BI, Jupyter",senior,Data Architect
"SQL, data modeling, data warehousing, ETL",business insights,BS Computer Science,Power BI,senior,Data Architect
"data warehousing, SQL","statistics, data analysis, business insights",BS Statistics,Excel,entry,Data Architect
"data modeling, ETL, SQL","business insights, data analysis, statistics",BS Data Science,SQL,senior,Data Architect
"data modeling, SQL, ETL, data warehousing","business insights, data analysis, statistics",BS Data Science,"Jupyter, Excel, Tableau",senior,Data Architect
"SQL, data warehousing, data modeling, ETL",statistics,BS Computer Science,"SQL, Jupyter, Power BI",senior,Data Architect
"ETL, SQL, data modeling","business insights, data analysis, statistics",BS Data Science,Tableau,junior,Data Architect
"data modeling, ETL, SQL",statistics,BS Data Science,"Excel, SQL, Power BI",junior,Data Architect
"data modeling, ETL, data warehousing, SQL",data analysis,BS Statistics,Jupyter,entry,Data Architect
"data modeling, data warehousing","business insights, statistics, data analysis",BS Computer Science,"SQL, Tableau",junior,Data Architect
"data visualization, Statistics, Python","business insights, data analysis, statistics",BS Computer Science,"Tableau, Jupyter",mid,Statistician
"data visualization, Statistics, Python",data analysis,BS Computer Science,Tableau,mid,Statistician
"R, data visualization, Statistics, Python",data analysis,BS Data Science,Power BI,senior,Statistician
"R, Python",data analysis,BS Computer Science,"Excel, SQL",senior,Statistician
"Python, data visualization, R",data analysis,BS Computer Science,Tableau,junior,Statistician
"Statistics, R","data analysis, business insights, statistics",BS Computer Science,"Tableau, Excel",senior,Statistician
"Python, Statistics",statistics,BS Data Science,SQL,senior,Statistician
"data visualization, Statistics",statistics,BS Computer Science,"Jupyter, Power BI",junior,Statistician
"data visualization, Statistics","statistics, data analysis",BS Statistics,"SQL, Excel, Tableau",junior,Statistician
"R, Statistics, Python","data analysis, business insights",BS Statistics,"Power BI, SQL",mid,Statistician
"SQL, Excel, Google Analytics, data visualization",statistics,BS Computer Science,"SQL, Power BI",senior,Marketing Analyst
"Google Analytics, Excel, SQL","data analysis, business insights, statistics",BS Statistics,"SQL, Tableau, Excel",entry,Marketing Analyst
"Google Analytics, data visualization, SQL","business insights, data analysis, statistics",BS Computer Science,"Power BI, Jupyter",senior,Marketing Analyst
"SQL, Google Analytics, Excel","business insights, statistics, data analysis",BS Data Science,"Excel, SQL",entry,Marketing Analyst
"data visualization, Excel","data analysis, statistics",BS Computer Science,"Tableau, Jupyter, SQL",senior,Marketing Analyst
"data visualization, Google Analytics","business insights, statistics",BS Computer Science,"Jupyter, Tableau, SQL",mid,Marketing Analyst
"Google Analytics, SQL, Excel, data visualization","business insights, data analysis, statistics",BS Computer Science,"Jupyter, Excel",entry,Marketing Analyst
"data visualization, SQL","business insights, data analysis",BS Statistics,"SQL, Jupyter",junior,Marketing Analyst
"Excel, Google Analytics","data analysis, statistics, business insights",BS Computer Science,Excel,mid,Marketing Analyst
"data visualization, SQL, Google Analytics",statistics,BS Statistics,"Power BI, Jupyter",senior,Marketing Analyst
"R, Statistics, data modeling, Python",statistics,BS Data Science,Power BI,junior,Quantitative Analyst
"Python, data modeling, R","data analysis, business insights",BS Statistics,SQL,entry,Quantitative Analyst
"data modeling, R, Python","statistics, business insights",BS Statistics,"Jupyter, Excel, Tableau",entry,Quantitative Analyst
"Statistics, R","statistics, business insights, data analysis",BS Computer Science,"Excel, Power BI, Tableau",senior,Quantitative Analyst
"R, data modeling, Python","data analysis, statistics",BS Data Science,"Excel, Tableau",entry,Quantitative Analyst
"R, Statistics","data analysis, business insights",BS Computer Science,"Excel, SQL, Jupyter",junior,Quantitative Analyst
"Statistics, Python",statistics,BS Computer Science,Power BI,mid,Quantitative Analyst
"Statistics, Python, R","statistics, business insights, data analysis",BS Statistics,"Tableau, SQL",mid,Quantitative Analyst
"Python, Statistics","data analysis, statistics",BS Statistics,Jupyter,mid,Quantitative Analyst
"R, Statistics, data modeling, Python","business insights, statistics, data analysis",BS Computer Science,Power BI,entry,Quantitative Analyst
"Python, R, data analysis, Statistics","data analysis, statistics, business insights",BS Data Science,"Jupyter, SQL",junior,Bioinformatics Analyst
"R, Python, Statistics","statistics, data analysis, business insights",BS Data Science,"Excel, Jupyter",mid,Bioinformatics Analyst
"R, Statistics, data analysis","statistics, business insights",BS Data Science,"Excel, Tableau",mid,Bioinformatics Analyst
"Python, data analysis, R","statistics, business insights, data analysis",BS Data Science,"Power BI, Tableau, Jupyter",entry,Bioinformatics Analyst
"R, data analysis","business insights, statistics",BS Data Science,"Power BI, Jupyter, Tableau",senior,Bioinformatics Analyst
"Statistics, R, Python, data analysis","business insights, data analysis, statistics",BS Data Science,"Excel, Power BI",entry,Bioinformatics Analyst
"Statistics, R, data analysis",data analysis,BS Data Science,Excel,mid,Bioinformatics Analyst
"data analysis, Python, R, Statistics",statistics,BS Computer Science,"SQL, Jupyter, Power BI",mid,Bioinformatics Analyst
"Python, Statistics, R","statistics, business insights, data analysis",BS Computer Science,"Power BI, Jupyter, SQL",entry,Bioinformatics Analyst
"R, Statistics, Python",statistics,BS Statistics,"SQL, Excel, Jupyter",entry,Bioinformatics Analyst
"Deep Learning, Python, Machine Learning, PyTorch","automation, machine learning, research",MS Artificial Intelligence,Jupyter,junior,AI Engineer
"Deep Learning, PyTorch, TensorFlow, Machine Learning, Python","automation, research, machine learning",MS Artificial Intelligence,"TensorFlow, PyTorch, Jupyter",junior,AI Engineer
"Deep Learning, PyTorch, Machine Learning, TensorFlow, Python",machine learning,BS Data Science,Git,junior,AI Engineer
"PyTorch, Python, Machine Learning","machine learning, automation",BS Data Science,sklearn,mid,AI Engineer
"Deep Learning, Machine Learning, TensorFlow, PyTorch",automation,BS Computer Science,Jupyter,junior,AI Engineer
"Machine Learning, PyTorch, TensorFlow",machine learning,BS Data Science,sklearn,entry,AI Engineer
"Python, TensorFlow, Machine Learning",machine learning,BS Data Science,Git,entry,AI Engineer
"Python, Deep Learning, PyTorch, TensorFlow","automation, machine learning",BS Data Science,Git,junior,AI Engineer
"Machine Learning, PyTorch, Deep Learning, TensorFlow, Python",machine learning,MS Artificial Intelligence,"Git, TensorFlow",mid,AI Engineer
"PyTorch, Machine Learning, Deep Learning","machine learning, automation, research",MS Artificial Intelligence,PyTorch,mid,AI Engineer
"Python, Scikit-learn, Machine Learning","research, automation, machine learning",BS Computer Science,"Jupyter, PyTorch, sklearn",senior,Machine Learning Engineer
"Scikit-learn, MLOps, PyTorch, Python","machine learning, research",BS Data Science,"PyTorch, sklearn, Git",mid,Machine Learning Engineer
"Python, MLOps, Scikit-learn, Machine Learning, PyTorch","research, automation",MS Artificial Intelligence,"TensorFlow, sklearn, Jupyter",senior,Machine Learning Engineer
"PyTorch, Scikit-learn, Python, MLOps","research, machine learning, automation",MS Artificial Intelligence,"Jupyter, sklearn",senior,Machine Learning Engineer
"Python, MLOps, PyTorch, Scikit-learn, Machine Learning","automation, machine learning, research",BS Data Science,"PyTorch, TensorFlow",junior,Machine Learning Engineer
"PyTorch, Python, MLOps, Scikit-learn, Machine Learning","automation, research",MS Artificial Intelligence,"TensorFlow, sklearn",senior,Machine Learning Engineer
"MLOps, Machine Learning, Python, Scikit-learn",machine learning,BS Computer Science,"sklearn, PyTorch",junior,Machine Learning Engineer
"Python, MLOps, PyTorch","automation, machine learning",BS Data Science,"Git, TensorFlow",junior,Machine Learning Engineer
"MLOps, Python, PyTorch, Scikit-learn","machine learning, research",MS Artificial Intelligence,"sklearn, TensorFlow",mid,Machine Learning Engineer
"MLOps, Python, PyTorch, Scikit-learn, Machine Learning","research, automation",BS Computer Science,"sklearn, Jupyter",entry,Machine Learning Engineer
"TensorFlow, PyTorch, Python, Deep Learning","machine learning, research",MS Artificial Intelligence,"sklearn, Jupyter",senior,Deep Learning Engineer
"PyTorch, Deep Learning, Python, TensorFlow","research, automation",MS Artificial Intelligence,"Git, TensorFlow",mid,Deep Learning Engineer
"Python, PyTorch, TensorFlow",research,BS Computer Science,"Git, Jupyter, TensorFlow",mid,Deep Learning Engineer
"Python, Deep Learning, TensorFlow","research, automation",BS Data Science,"PyTorch, Git, Jupyter",mid,Deep Learning Engineer
"Python, TensorFlow, PyTorch, Deep Learning",research,BS Data Science,Git,mid,Deep Learning Engineer
"PyTorch, TensorFlow","automation, research",BS Computer Science,sklearn,entry,Deep Learning Engineer
"PyTorch, TensorFlow, Deep Learning","automation, machine learning",BS Computer Science,PyTorch,mid,Deep Learning Engineer
"TensorFlow, Python, Deep Learning","research, machine learning",BS Computer Science,"Jupyter, PyTorch, sklearn",mid,Deep Learning Engineer
"TensorFlow, PyTorch","machine learning, automation",MS Artificial Intelligence,"Jupyter, TensorFlow, PyTorch",entry,Deep Learning Engineer
"PyTorch, Deep Learning, Python, TensorFlow",automation,BS Computer Science,"TensorFlow, sklearn, Git",mid,Deep Learning Engineer
"PyTorch, Hugging Face, NLP","automation, machine learning, research",MS Artificial Intelligence,"Git, PyTorch, TensorFlow",senior,NLP Engineer
"Hugging Face, NLP","automation, research, machine learning",MS Artificial Intelligence,TensorFlow,senior,NLP Engineer
"NLP, Python","automation, research, machine learning",BS Computer Science,"Jupyter, PyTorch",senior,NLP Engineer
"PyTorch, Hugging Face, Python","automation, machine learning",BS Computer Science,Jupyter,junior,NLP Engineer
"Python, Hugging Face","research, automation",MS Artificial Intelligence,"sklearn, Jupyter",junior,NLP Engineer
"PyTorch, Python",research,BS Computer Science,"Git, PyTorch, TensorFlow",entry,NLP Engineer
"Hugging Face, Python, PyTorch, NLP","automation, research",BS Data Science,"TensorFlow, Jupyter",senior,NLP Engineer
"NLP, Python, PyTorch, Hugging Face","automation, research, machine learning",BS Data Science,Git,entry,NLP Engineer
"PyTorch, Hugging Face, NLP","automation, machine learning, research",BS Data Science,Jupyter,junior,NLP Engineer
"PyTorch, NLP","research, machine learning",BS Computer Science,"TensorFlow, Jupyter, PyTorch",senior,NLP Engineer
"Deep Learning, Python","research, automation",BS Computer Science,Git,entry,Computer Vision Engineer
"Python, Deep Learning, PyTorch, OpenCV","research, automation, machine learning",MS Artificial Intelligence,Git,junior,Computer Vision Engineer
"PyTorch, Python, OpenCV","research, machine learning",BS Data Science,"PyTorch, Git",senior,Computer Vision Engineer
"Deep Learning, PyTorch, OpenCV, Python","machine learning, research",BS Computer Science,"sklearn, TensorFlow, Git",senior,Computer Vision Engineer
"OpenCV, Deep Learning","automation, machine learning",BS Computer Science,"Git, TensorFlow",senior,Computer Vision Engineer
"Python, PyTorch, Deep Learning, OpenCV","machine learning, automation, research",BS Data Science,"TensorFlow, Git, sklearn",entry,Computer Vision Engineer
"OpenCV, Python","automation, machine learning, research",BS Computer Science,"sklearn, PyTorch",mid,Computer Vision Engineer
"Deep Learning, OpenCV",machine learning,BS Computer Science,"PyTorch, sklearn",senior,Computer Vision Engineer
"OpenCV, Python, Deep Learning, PyTorch",research,BS Data Science,"PyTorch, Jupyter",senior,Computer Vision Engineer
"PyTorch, Deep Learning, OpenCV, Python",research,BS Data Science,"Jupyter, Git, TensorFlow",senior,Computer Vision Engineer
"Python, Hugging Face, Prompt Engineering",research,BS Computer Science,"sklearn, Git, Jupyter",senior,Generative AI Engineer
"LLMs, Hugging Face","automation, machine learning, research",BS Data Science,"PyTorch, Jupyter",mid,Generative AI Engineer
"LLMs, Prompt Engineering, Hugging Face",research,MS Artificial Intelligence,"sklearn, Jupyter, Git",senior,Generative AI Engineer
"Prompt Engineering, Hugging Face","automation, machine learning",MS Artificial Intelligence,"sklearn, TensorFlow",entry,Generative AI Engineer
"Python, Hugging Face","machine learning, research",BS Computer Science,"Git, Jupyter, sklearn",mid,Generative AI Engineer
"Hugging Face, LLMs, Prompt Engineering, Python",automation,BS Data Science,"PyTorch, TensorFlow, Jupyter",senior,Generative AI Engineer
"Hugging Face, Python, Prompt Engineering","automation, research",BS Data Science,"Jupyter, TensorFlow",entry,Generative AI Engineer
"Hugging Face, LLMs","research, automation, machine learning",BS Computer Science,"TensorFlow, Git, PyTorch",junior,Generative AI Engineer
"Hugging Face, Python, LLMs",machine learning,BS Data Science,PyTorch,junior,Generative AI Engineer
"Hugging Face, LLMs",automation,BS Computer Science,"Jupyter, sklearn",entry,Generative AI Engineer
"LLMs, Python, Prompt Engineering","machine learning, automation, research",BS Data Science,TensorFlow,junior,AI Prompt Engineer
"Python, LLMs","automation, machine learning, research",MS Artificial Intelligence,"PyTorch, sklearn, Jupyter",junior,AI Prompt Engineer
"Python, Prompt Engineering, LLMs",research,MS Artificial Intelligence,"Jupyter, sklearn, PyTorch",entry,AI Prompt Engineer
"Prompt Engineering, Python, LLMs","automation, research",BS Computer Science,"TensorFlow, Jupyter, PyTorch",entry,AI Prompt Engineer
"LLMs, Prompt Engineering, Python",automation,BS Computer Science,"Jupyter, Git",senior,AI Prompt Engineer
"LLMs, Python",machine learning,BS Computer Science,Jupyter,junior,AI Prompt Engineer
"LLMs, Python","automation, machine learning",BS Data Science,"sklearn, Git",mid,AI Prompt Engineer
"LLMs, Prompt Engineering","automation, machine learning",BS Computer Science,"sklearn, Git",mid,AI Prompt Engineer
"Prompt Engineering, LLMs, Python","machine learning, research, automation",BS Data Science,Git,mid,AI Prompt Engineer
"Python, Prompt Engineering, LLMs","automation, machine learning",BS Computer Science,"sklearn, Jupyter",senior,AI Prompt Engineer
"Kubernetes, Docker, CI/CD","research, machine learning",MS Artificial Intelligence,Jupyter,entry,MLOps Engineer
"Python, CI/CD, MLOps, Docker, Kubernetes","research, machine learning",MS Artificial Intelligence,Jupyter,senior,MLOps Engineer
"Docker, Python, MLOps",research,MS Artificial Intelligence,"TensorFlow, sklearn",senior,MLOps Engineer
"Kubernetes, CI/CD, MLOps, Python, Docker",automation,MS Artificial Intelligence,"Jupyter, sklearn",entry,MLOps Engineer
"Python, MLOps, CI/CD",automation,BS Computer Science,"sklearn, Git",mid,MLOps Engineer
"CI/CD, Kubernetes, Python, Docker, MLOps",machine learning,BS Data Science,PyTorch,entry,MLOps Engineer
"Docker, MLOps, Python","automation, machine learning",MS Artificial Intelligence,sklearn,junior,MLOps Engineer
"Kubernetes, Python, MLOps","research, machine learning",BS Data Science,PyTorch,senior,MLOps Engineer
"Python, MLOps, Docker, CI/CD",research,MS Artificial Intelligence,"Jupyter, TensorFlow",entry,MLOps Engineer
"Python, CI/CD, Docker","automation, research, machine learning",BS Computer Science,"sklearn, Git",junior,MLOps Engineer
"control systems, computer vision basics","automation, machine learning",BS Computer Science,"sklearn, Git, Jupyter",senior,Robotics Engineer
"computer vision basics, C++, control systems, Python",research,MS Artificial Intelligence,sklearn,mid,Robotics Engineer
"C++, computer vision basics, Python","automation, research, machine learning",BS Data Science,"sklearn, Git",mid,Robotics Engineer
"C++, computer vision basics, Python","automation, machine learning",MS Artificial Intelligence,"PyTorch, Git",junior,Robotics Engineer
"control systems, Python","research, automation",BS Data Science,Git,entry,Robotics Engineer
"computer vision basics, C++","automation, machine learning",BS Data Science,"Jupyter, Git, PyTorch",senior,Robotics Engineer
"C++, Python","machine learning, research, automation",BS Computer Science,"Jupyter, TensorFlow",junior,Robotics Engineer
"Python, computer vision basics, control systems, C++","machine learning, automation",MS Artificial Intelligence,"Jupyter, Git, TensorFlow",entry,Robotics Engineer
"Python, control systems","machine learning, research",MS Artificial Intelligence,"Git, sklearn",entry,Robotics Engineer
"computer vision basics, C++",machine learning,BS Data Science,"sklearn, Jupyter",junior,Robotics Engineer
"Linux, Kubernetes, Docker, CI/CD","reliability, automation",BS Software Engineering,"Docker, Git, Kubernetes",senior,DevOps Engineer
"Kubernetes, CI/CD, Linux","automation, reliability",BS Computer Science,"Docker, AWS",entry,DevOps Engineer
"AWS, Linux, Kubernetes",automation,BS Computer Science,"AWS, Docker",entry,DevOps Engineer
"Linux, AWS, Kubernetes, CI/CD, Docker","reliability, automation, cloud",BS Computer Science,"Git, Docker",senior,DevOps Engineer
"Kubernetes, CI/CD, AWS, Linux","automation, cloud, reliability",BS Computer Science,Git,mid,DevOps Engineer
"Kubernetes, AWS, Docker, CI/CD","reliability, automation, cloud",BS Computer Science,AWS,mid,DevOps Engineer
"AWS, CI/CD, Linux",reliability,BS Computer Science,"Kubernetes, Git",entry,DevOps Engineer
"Docker, CI/CD, Kubernetes","reliability, cloud, automation",BS Software Engineering,Git,junior,DevOps Engineer
"AWS, Linux, CI/CD, Docker","automation, cloud, reliability",BS Software Engineering,"Git, Docker, Terraform",senior,DevOps Engineer
"Kubernetes, CI/CD, Linux",cloud,BS Computer Science,"Docker, Terraform",junior,DevOps Engineer
"Linux, Terraform, Docker","reliability, automation",BS Software Engineering,"Terraform, Git",junior,Cloud Engineer
"Docker, Linux","automation, cloud, reliability",BS Computer Science,"Terraform, AWS",junior,Cloud Engineer
"Terraform, AWS, Docker, Linux",automation,BS Software Engineering,Git,junior,Cloud Engineer
"Terraform, Docker","automation, reliability",BS Software Engineering,Docker,junior,Cloud Engineer
"Linux, AWS, Docker, Terraform",cloud,BS Software Engineering,AWS,mid,Cloud Engineer
"AWS, Docker","reliability, automation",BS Software Engineering,"Terraform, Git",junior,Cloud Engineer
"Linux, Docker","automation, cloud, reliability",BS Computer Science,"Git, Terraform, Docker",junior,Cloud Engineer
"Terraform, Linux, AWS","automation, reliability, cloud",BS Computer Science,"AWS, Kubernetes, Terraform",entry,Cloud Engineer
"AWS, Linux, Terraform, Docker","reliability, cloud",BS Computer Science,"Git, Docker, AWS",mid,Cloud Engineer
"Docker, Terraform","automation, cloud, reliability",BS Software Engineering,"AWS, Terraform, Git",mid,Cloud Engineer
"AWS, Docker, Terraform","automation, cloud",BS Computer Science,Git,junior,AWS Solutions Architect
"Terraform, AWS, networking",cloud,BS Software Engineering,"Docker, AWS",mid,AWS Solutions Architect
"AWS, Docker",automation,BS Software Engineering,Kubernetes,junior,AWS Solutions Architect
"Docker, Terraform, networking",cloud,BS Computer Science,Git,junior,AWS Solutions Architect
"networking, AWS, Terraform",automation,BS Software Engineering,"Terraform, AWS, Docker",entry,AWS Solutions Architect
"Terraform, AWS, networking","reliability, cloud, automation",BS Computer Science,"Git, Terraform",senior,AWS Solutions Architect
"Terraform, AWS","reliability, cloud",BS Computer Science,"Terraform, Git, AWS",entry,AWS Solutions Architect
"Docker, networking, AWS",cloud,BS Software Engineering,"Git, Kubernetes",senior,AWS Solutions Architect
"Terraform, Docker, networking",cloud,BS Computer Science,"AWS, Terraform",entry,AWS Solutions Architect
"Docker, Terraform",reliability,BS Software Engineering,"Kubernetes, Git, Terraform",senior,AWS Solutions Architect
"CI/CD, Docker, Azure, Terraform","automation, cloud, reliability",BS Computer Science,"Terraform, AWS, Git",junior,Azure Engineer
"Terraform, Docker, Azure","reliability, cloud, automation",BS Software Engineering,"AWS, Kubernetes, Docker",mid,Azure Engineer
"Docker, CI/CD, Azure",automation,BS Software Engineering,Terraform,entry,Azure Engineer
"Azure, Docker","reliability, automation, cloud",BS Computer Science,"Kubernetes, Docker, AWS",senior,Azure Engineer
"Azure, Docker, CI/CD","reliability, cloud, automation",BS Computer Science,"Terraform, AWS, Docker",senior,Azure Engineer
"Docker, CI/CD","reliability, cloud, automation",BS Computer Science,"AWS, Docker, Terraform",junior,Azure Engineer
"CI/CD, Azure, Terraform, Docker","reliability, automation, cloud",BS Software Engineering,"AWS, Kubernetes, Docker",senior,Azure Engineer
"Azure, CI/CD, Docker","automation, cloud",BS Computer Science,Kubernetes,senior,Azure Engineer
"Terraform, Docker, Azure, CI/CD",automation,BS Computer Science,"AWS, Docker, Kubernetes",senior,Azure Engineer
"Docker, Azure",automation,BS Software Engineering,AWS,entry,Azure Engineer
"Kubernetes, Docker",cloud,BS Software Engineering,Kubernetes,entry,GCP Engineer
"Docker, Google Cloud, Terraform",reliability,BS Software Engineering,"AWS, Git, Terraform",entry,GCP Engineer
"Kubernetes, Terraform, Google Cloud",cloud,BS Software Engineering,Kubernetes,senior,GCP Engineer
"Google Cloud, Kubernetes",reliability,BS Computer Science,"Terraform, Git",entry,GCP Engineer
"Terraform, Google Cloud, Kubernetes, Docker","automation, reliability",BS Computer Science,"AWS, Terraform",mid,GCP Engineer
"Docker, Google Cloud, Kubernetes, Terraform","reliability, cloud, automation",BS Computer Science,"Git, Kubernetes, Docker",senior,GCP Engineer
"Terraform, Google Cloud, Kubernetes",cloud,BS Computer Science,Kubernetes,senior,GCP Engineer
"Kubernetes, Docker, Google Cloud, Terraform","automation, reliability",BS Software Engineering,"AWS, Docker",entry,GCP Engineer
"Google Cloud, Docker","cloud, reliability",BS Computer Science,Kubernetes,junior,GCP Engineer
"Terraform, Kubernetes, Docker, Google Cloud","reliability, automation, cloud",BS Software Engineering,"Docker, AWS",senior,GCP Engineer
"Kubernetes, Linux",reliability,BS Computer Science,"Git, Docker",junior,Site Reliability Engineer
"Linux, CI/CD, Prometheus",automation,BS Computer Science,Kubernetes,entry,Site Reliability Engineer
"Linux, Kubernetes","cloud, reliability, automation",BS Software Engineering,Git,mid,Site Reliability Engineer
"Kubernetes, CI/CD",automation,BS Computer Science,Kubernetes,junior,Site Reliability Engineer
"Prometheus, Kubernetes, Linux",cloud,BS Software Engineering,AWS,junior,Site Reliability Engineer
"Kubernetes, Prometheus, CI/CD","automation, cloud",BS Software Engineering,"Docker, Terraform",entry,Site Reliability Engineer
"Prometheus, Kubernetes",cloud,BS Software Engineering,"Kubernetes, Git, Terraform",senior,Site Reliability Engineer
"Prometheus, Kubernetes, Linux, CI/CD",automation,BS Computer Science,Kubernetes,junior,Site Reliability Engineer
"CI/CD, Kubernetes, Linux, Prometheus","reliability, cloud, automation",BS Software Engineering,"Git, Kubernetes, Docker",senior,Site Reliability Engineer
"Linux, CI/CD","reliability, automation",BS Software Engineering,"Kubernetes, Terraform",entry,Site Reliability Engineer
"CI/CD, Kubernetes","cloud, automation",BS Software Engineering,"Git, Docker",mid,Platform Engineer
"Kubernetes, CI/CD, Docker","automation, reliability",BS Computer Science,"AWS, Terraform, Kubernetes",mid,Platform Engineer
"CI/CD, Terraform, Docker","automation, reliability",BS Software Engineering,"Terraform, AWS",junior,Platform Engineer
"Terraform, CI/CD, Kubernetes","cloud, automation",BS Computer Science,"Docker, AWS",entry,Platform Engineer
"Docker, Kubernetes","cloud, automation, reliability",BS Software Engineering,"Kubernetes, Git",junior,Platform Engineer
"Terraform, Docker, CI/CD, Kubernetes","automation, reliability",BS Software Engineering,"Git, AWS",senior,Platform Engineer
"Terraform, CI/CD, Kubernetes, Docker","reliability, cloud, automation",BS Computer Science,"Git, Terraform, Kubernetes",senior,Platform Engineer
"Kubernetes, Terraform, CI/CD","reliability, automation",BS Computer Science,"Terraform, AWS",mid,Platform Engineer
"Terraform, CI/CD","cloud, automation, reliability",BS Software Engineering,Terraform,senior,Platform Engineer
"CI/CD, Docker, Terraform, Kubernetes","cloud, reliability, automation",BS Computer Science,"Git, Terraform",senior,Platform Engineer
"Helm, Kubernetes","cloud, automation",BS Software Engineering,"Kubernetes, AWS, Terraform",entry,Kubernetes Administrator
"Docker, Kubernetes, Helm, Linux",cloud,BS Computer Science,"Kubernetes, Docker",junior,Kubernetes Administrator
"Kubernetes, Docker, Helm","reliability, cloud",BS Computer Science,"Terraform, Git",junior,Kubernetes Administrator
"Docker, Linux","automation, cloud",BS Software Engineering,Docker,junior,Kubernetes Administrator
"Helm, Linux, Docker",reliability,BS Software Engineering,"Docker, Terraform, Git",junior,Kubernetes Administrator
"Docker, Helm",automation,BS Computer Science,"Kubernetes, Terraform, Docker",senior,Kubernetes Administrator
"Kubernetes, Linux, Helm, Docker","automation, reliability, cloud",BS Software Engineering,"Docker, Terraform, AWS",junior,Kubernetes Administrator
"Helm, Docker, Linux, Kubernetes","reliability, cloud, automation",BS Computer Science,Docker,mid,Kubernetes Administrator
"Linux, Helm, Kubernetes, Docker","automation, cloud",BS Software Engineering,AWS,mid,Kubernetes Administrator
"Helm, Kubernetes, Docker",reliability,BS Computer Science,"AWS, Git",senior,Kubernetes Administrator
"Ansible, Terraform, AWS, Linux",automation,BS Computer Science,"Docker, Kubernetes, Terraform",senior,Infrastructure Engineer
"Ansible, Terraform, Linux","reliability, cloud, automation",BS Computer Science,"Kubernetes, Docker",junior,Infrastructure Engineer
"Terraform, Ansible","cloud, automation",BS Computer Science,AWS,mid,Infrastructure Engineer
"Ansible, AWS",cloud,BS Computer Science,"Git, Docker, Terraform",entry,Infrastructure Engineer
"Terraform, AWS, Linux, Ansible",reliability,BS Computer Science,Terraform,junior,Infrastructure Engineer
"Linux, Terraform",cloud,BS Computer Science,"AWS, Git",mid,Infrastructure Engineer
"Terraform, Ansible",reliability,BS Computer Science,"Docker, AWS, Git",entry,Infrastructure Engineer
"Linux, Ansible, Terraform","cloud, automation, reliability",BS Computer Science,Docker,entry,Infrastructure Engineer
"Linux, Terraform, Ansible","reliability, automation",BS Computer Science,"Docker, Terraform",junior,Infrastructure Engineer
"Linux, Ansible","automation, cloud, reliability",BS Computer Science,"Kubernetes, Terraform",entry,Infrastructure Engineer
"Git, CI/CD","automation, reliability, cloud",BS Software Engineering,Kubernetes,senior,Release Engineer
"Git, CI/CD","reliability, automation, cloud",BS Computer Science,"Git, AWS, Terraform",entry,Release Engineer
"CI/CD, Jenkins, Docker, Git",reliability,BS Computer Science,Docker,mid,Release Engineer
"Git, CI/CD, Docker","cloud, reliability",BS Computer Science,"Git, Terraform, Kubernetes",mid,Release Engineer
"Git, Jenkins","cloud, automation, reliability",BS Computer Science,Kubernetes,mid,Release Engineer
"Jenkins, Git",reliability,BS Computer Science,"Docker, Terraform, Kubernetes",mid,Release Engineer
"Docker, Git",cloud,BS Software Engineering,Docker,entry,Release Engineer
"Jenkins, CI/CD, Git, Docker",reliability,BS Computer Science,Git,entry,Release Engineer
"Docker, Jenkins, CI/CD","cloud, reliability, automation",BS Computer Science,"Docker, Kubernetes, Git",senior,Release Engineer
"Jenkins, Docker, Git, CI/CD","automation, reliability",BS Computer Science,"Terraform, Git",senior,Release Engineer
"compliance, AWS",automation,BS Computer Science,"Docker, Kubernetes, Git",senior,Cloud Security Engineer
"compliance, AWS, Network Security","reliability, automation, cloud",BS Software Engineering,Terraform,junior,Cloud Security Engineer
"AWS, cloud security",reliability,BS Software Engineering,"Terraform, Git",senior,Cloud Security Engineer
"Network Security, AWS, compliance, cloud security","reliability, cloud, automation",BS Computer Science,Terraform,junior,Cloud Security Engineer
"compliance, AWS","automation, reliability, cloud",BS Computer Science,"Terraform, Git, Kubernetes",junior,Cloud Security Engineer
"compliance, cloud security","reliability, cloud",BS Computer Science,"Git, Terraform",junior,Cloud Security Engineer
"AWS, Network Security, cloud security",cloud,BS Computer Science,"Terraform, Git, Kubernetes",entry,Cloud Security Engineer
"AWS, compliance, cloud security, Network Security","reliability, automation",BS Software Engineering,"Kubernetes, Terraform, Git",entry,Cloud Security Engineer
"Network Security, cloud security","reliability, cloud",BS Software Engineering,"Kubernetes, AWS, Terraform",senior,Cloud Security Engineer
"cloud security, compliance","automation, reliability, cloud",BS Software Engineering,Docker,mid,Cloud Security Engineer
"Splunk, Incident Response",threat analysis,BS Cyber Security,"Burp Suite, Splunk",junior,Cybersecurity Analyst
"Splunk, Network Security","networking, threat analysis",BS Computer Science,"Splunk, Wireshark, Kali Linux",entry,Cybersecurity Analyst
"Network Security, Splunk, Incident Response","security, networking",BS Cyber Security,"Burp Suite, Kali Linux, Wireshark",entry,Cybersecurity Analyst
